Blog	four	looking	second	music	until	example	want	feature	wrong	easier	series	wasn	service	needed	project	tech	came	saying	than	best	lots	asked	much	pro	life	worked	things	had	possible	right	old	people	support	happy	inside	later	time	team	current	love	red	working	awesome	such	data	years	didn	internet	quite	open	city	future	san	turned	say	note	take	ways	going	where	jobs	screen	many	photos	single	technology	summer	being	around	traffic	world	power	favorite	her	gone	ad	am	original	tv	small	past	full	hours	pick	action	via	company	states	information	its	always	found	week	really	research	major	number	also	play	sometimes	microsoft	set	see	last	whole	recent	person	couple	d	continue	anything	into	link	line	posted	us	facebook	ago	age	having	results	try	video	let	great	makes	tools	next	process	high	allow	move	doing	could	system	lot	device	face	fact	should	hope	means	stuff	email	co	ve	site	vs	android	off	web	five	become	does	details	chance	announced	told	employees	work	provide	after	order	office	then	them	network	do	away	com	easy	air	hand	photo	thanks	night	security	comments	marketing	post	months	way	true	update	together	cost	change	usually	live	write	product	remember	still	non	year	happen	space	shows	care	couldn	mostly	online	price	america	]	only	between	article	comes	these	media	ceo	thinking	real	read	early	amp	business	aren	start	low	trying	building	month	very	learned	advertising	family	put	takes	taken	history	help	actually	event	leave	since	issue	reason	ask	american	mobile	less	pretty	during	x	won	probably	both	else	look	while	government	used	user	showing	game	popular	within	nothing	doesn	e	youtube	go	michael	click	following	products	started	control	links	hit	software	including	him	times	exactly	need	based	course	written	key	problem	well	page	twitter	home	he	stories	piece	star	friends	using	companies	across	likely	even	ever	million	never	call	tell	give	president	third	before	personal	better	weeks	went	side	content	isn	features	matter	seen	seem	don	m	points	stop	bad	said	against	appeared	three	website	make	left	human	yes	yet	deal	down	finally	did	run	making	may	man	maybe	talk	nbsp	group	interesting	earlier	thing	think	first	long	little	anyone	were	especially	show	behind	black	get	nearly	enough	reading	according	those	same	running	money	either	general	again	important	u	starting	fall	public	search	published	two	share	numbers	needs	maps	different	coming	through	someone	everyone	another	house	hard	idea	done	least	part	built	build	services	find	please	point	simple	simply	create	understand	fun	itself	yesterday	source	big	bit	google	often	back	decision	per	others	something	ll	day	text	national	taking	file	almost	ios	center	thought	latest	add	works	biggest	buy	minutes	special	under	every	school	street	york	would	phone	must	me	keep	end	over	writing	each	got	free	days	already	top	too	tool	took	talking	though	watch	amazon	report	however	news	been	quickly	several	social	able	gave	everything	head	check	no	cool	says	goes	water	[	today	local	platform	name	she	turn	place	white	released	any	ideas	sure	state	federal	come	case	good	html	without	seems	blog	there	follow	program	far	fan	list	design	version	known	rather	short	perhaps	might	wouldn	feel	story	kind	added	windows	his	wrote	art	recently	creating	attention	customers	most	called	nice	users	once	issues	apple	app	use	few	women	six	instead	looks	our	g	their	july	which	who	why	watching	words	view	available	gets	percent	other	smart	know	press	because	lead	getting	own	apps	made	whether	book	june
Techdirt.	4	2	0	32	6	6	9	1	5	0	1	4	8	4	6	7	3	3	39	3	3	6	24	0	13	0	24	21	6	17	7	62	14	3	0	6	21	0	3	4	0	2	3	12	21	14	5	30	4	8	1	4	2	1	9	6	14	3	14	12	0	0	25	6	6	18	3	26	7	13	5	8	2	4	2	0	1	5	1	3	8	9	1	2	1	6	17	6	20	44	10	6	11	21	6	3	5	30	2	1	1	11	16	16	2	4	11	1	20	5	9	20	2	7	1	33	14	4	1	11	2	2	17	7	7	7	1	4	8	6	7	1	12	17	17	1	5	0	19	26	1	5	6	26	3	13	9	0	1	15	6	1	3	12	3	3	2	3	0	18	2	10	9	1	15	29	4	27	3	0	2	1	4	2	5	0	4	28	0	16	3	15	9	2	4	2	2	1	9	1	0	2	15	3	4	2	1	5	2	2	3	8	0	1	1	26	7	3	3	39	6	0	0	7	10	1	0	5	4	3	2	3	2	5	14	2	4	2	9	4	8	4	2	15	4	0	3	6	5	5	3	3	7	7	3	0	3	4	14	5	7	9	34	11	3	0	3	4	1	14	13	0	10	12	1	0	4	2	0	5	6	0	4	7	8	3	7	7	16	7	3	2	7	8	3	4	3	59	5	1	2	2	12	16	0	4	43	1	2	9	12	5	4	3	4	11	7	8	1	4	3	9	13	0	5	2	6	18	11	1	1	13	13	20	1	6	2	15	5	5	2	9	11	14	1	15	5	7	13	2	6	2	0	5	6	4	11	8	14	7	6	5	34	7	9	7	1	10	9	5	2	4	28	6	3	10	4	8	5	9	5	2	1	14	5	3	16	2	2	5	0	4	3	6	10	11	11	4	5	6	3	7	11	2	1	2	1	2	7	1	9	4	5	2	4	0	0	10	3	3	7	16	6	2	9	4	9	5	0	3	7	5	7	0	4	2	0	3	5	2	6	1	7	14	12	1	1	0	22	6	4	10	7	10	33	1	1	2	7	6	7	1	4	1	2	8	16	6	4	10	7	3	34	4	3	5	5	1	8	2	4	31	2	5	7	0	0	7	3	2	3	5	2	6	2	1	15	1	6	6	9	4	11	16	0	9	13	6	35	3	6	6	3	13	1	0	5	19	4	3	10	1	0	35	6	4	0	36	7	0	2	3	8	11	19	5	0	13	2	7	0	3	14	9	2	2	7	2	34	1	28	2	44	49	15	2	3	3	3	1	3	33	7	6	3	33	3	4	10	3	7	7	0	1
Joi Ito's Web	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	3	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	1	2	1	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	1	2	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	2	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	3	0	0	4	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	6	0
Joho the Blog	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	2	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	2	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	3	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	10	0	1	2	0	0	0	0	0	0	0	3	2	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0
ongoing by Tim Bray	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	4	0	0	2	0	0	1	0	0	0	0	0	0	2	1	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	5	0	0	0	1	2	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	1	2	0	0	0	0	5	0	0	0	0	2	0	2	0	0	1	0	0	2	1	2	0	0	1	0	0	1	0	0	0	1	0	2	0	0	0	2	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	3	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	7	0	0	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	3	2	3	0	1	0	2	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	2	0	0	7	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	3	1	0	1	0	0	0	0	2	1	0	2	0	1	1	1	0	0	4	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
bogus data	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NewsBusters - Exposing Liberal Media Bias	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
SpikedHumor - Today's Videos and Pictures	0	0	6	2	1	0	1	1	0	0	0	0	0	0	2	0	0	1	1	6	0	0	0	1	2	0	1	5	0	0	2	3	1	1	0	0	4	1	0	1	0	0	2	1	0	2	0	0	1	0	2	2	0	0	1	0	1	0	0	0	0	0	2	2	1	0	0	1	4	0	1	0	0	0	0	1	2	0	2	0	0	2	0	0	0	0	0	0	0	7	0	2	0	1	0	2	0	3	3	0	0	4	4	4	1	0	1	1	1	0	0	2	0	0	4	2	0	2	0	1	1	0	15	2	1	1	0	0	0	0	0	1	0	1	1	0	0	4	1	1	1	1	0	0	0	1	1	3	0	3	0	0	0	2	0	1	0	0	1	2	0	3	1	0	2	3	1	2	1	6	0	1	0	0	0	1	2	0	0	3	0	2	0	0	1	0	1	0	2	0	0	0	2	1	0	0	3	0	0	0	0	0	0	4	0	0	2	1	0	1	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	2	3	4	0	1	0	1	0	0	1	0	2	0	3	0	0	0	0	1	0	2	0	1	5	3	3	0	0	1	1	0	0	0	1	0	5	2	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	3	0	1	0	0	7	1	0	0	0	4	0	1	0	5	3	1	1	1	1	0	0	0	2	1	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	3	2	2	2	0	0	3	3	0	2	0	3	1	4	2	2	0	1	2	0	0	2	2	2	1	0	0	0	5	0	2	4	0	0	0	1	2	0	1	1	0	0	1	0	3	0	0	1	1	0	0	1	0	0	0	0	1	0	1	2	3	2	0	0	1	0	7	1	0	0	0	2	0	0	0	0	1	0	0	0	0	1	1	1	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	3	0	0	0	2	2	2	5	2	3	0	0	0	1	1	5	0	2	2	3	0	0	0	102	0	1	0	2	3	0	1	0	1	0	1	2	0	1	5	1	0	2	0	0	1	0	0	2	0	0	1	0	2	2	0	0	1	0	0	2	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	2	0	3	0	0	0	0	9	0	0	0	0	0	0	2	1	0	0	2	0	5	3	0	1	1	0	0	1	1	1	3	0	0	3	4	0	1	1	0	2	1	2	0	4	0	3	0	0	0	1	0	0	0	0
The Official Google Blog	1	8	3	10	2	2	10	0	1	2	3	2	1	0	8	8	1	2	33	10	0	3	10	0	7	2	4	21	3	12	3	41	11	2	1	3	17	16	1	6	2	7	0	6	11	10	3	9	1	3	12	5	8	9	3	2	14	4	3	10	3	3	13	5	2	15	8	3	20	3	67	7	6	16	3	1	0	4	12	5	8	2	6	0	2	3	4	5	19	21	7	2	37	3	1	1	7	17	9	2	0	6	25	15	1	3	7	2	11	3	1	12	0	1	27	13	0	2	3	2	4	4	5	1	2	2	6	9	1	5	2	3	5	14	2	3	3	4	3	2	3	3	3	5	2	30	3	9	30	12	11	7	2	1	2	3	5	1	2	10	5	20	2	4	5	13	2	20	1	8	3	1	2	1	2	1	3	1	3	3	5	12	1	1	12	1	5	0	9	3	3	1	15	1	30	2	4	2	4	5	0	15	0	3	2	11	4	3	6	19	5	2	1	2	6	1	5	2	2	3	4	0	6	4	7	2	1	1	7	2	2	7	22	0	5	1	5	4	1	4	3	5	1	6	6	5	10	0	4	0	16	10	2	5	0	5	12	1	0	1	0	0	5	6	2	2	4	4	6	1	2	0	0	5	1	4	1	9	4	6	1	0	0	11	0	0	14	16	2	4	8	2	18	5	11	0	18	8	6	3	3	1	10	3	5	6	3	5	2	1	2	2	2	1	3	5	0	9	4	0	1	2	2	9	0	6	4	28	3	2	0	4	0	7	5	2	2	9	11	2	0	3	5	11	0	1	3	3	16	8	7	4	22	3	13	3	2	16	4	2	2	0	7	1	0	1	2	2	0	9	19	4	3	7	46	2	12	3	3	3	5	6	5	24	2	5	8	1	3	2	5	2	6	2	17	0	11	1	0	6	3	11	2	0	3	2	2	3	2	100	2	13	3	1	7	4	16	16	3	5	5	0	1	1	6	2	4	0	2	2	1	0	3	2	11	5	17	6	5	5	2	5	6	6	14	2	14	10	4	3	4	11	7	1	5	0	7	8	0	4	3	11	14	2	0	1	8	2	2	4	6	11	3	1	0	13	0	27	4	8	3	11	3	9	0	0	5	5	9	4	0	7	2	10	0	4	2	5	25	3	7	12	3	5	8	2	3	3	1	0	8	0	1	2	0	1	0	25	0	16	4	5	5	5	11	2	0	1	3	2	0	2	16	7	8	3	0	0	73	2	44	4	16	47	4	3	1	7	4	2	6	17	0	6	0	6	3	4	8	4	11	10	4	10
kottke.org	6	3	4	1	2	2	2	0	0	1	5	1	1	0	1	0	4	2	13	2	1	1	5	0	2	0	9	4	1	5	13	10	0	0	1	1	11	6	1	7	0	1	0	3	5	22	2	1	1	6	3	0	2	0	4	1	2	0	4	4	0	1	4	0	1	0	2	2	6	0	19	0	4	2	0	0	0	2	11	5	2	3	4	1	0	18	7	3	2	8	3	1	2	1	2	2	2	14	2	2	0	1	7	5	4	2	0	3	3	1	1	13	0	2	0	6	0	6	1	1	3	2	27	0	4	3	1	4	1	4	1	3	0	8	1	3	0	2	3	4	2	2	1	1	0	12	3	0	0	2	6	1	2	3	0	2	0	0	0	11	0	5	1	0	7	9	0	9	3	0	1	2	3	1	2	1	0	0	0	0	0	7	6	0	3	8	8	2	3	0	1	3	4	2	9	1	1	0	0	0	2	3	1	1	0	9	2	2	1	5	0	0	4	1	6	5	1	1	0	7	1	0	1	0	4	1	0	2	2	5	2	4	4	1	2	0	3	1	0	1	3	1	4	3	5	0	1	3	2	2	2	9	1	3	0	0	15	3	1	2	3	2	2	6	1	1	2	2	4	0	2	2	0	3	4	7	0	6	1	0	2	0	0	2	6	1	4	30	0	5	2	5	0	0	0	2	6	1	4	6	1	1	2	0	1	3	0	1	1	0	1	0	1	0	1	3	1	7	14	2	0	2	4	8	0	0	0	6	0	2	0	1	3	3	1	5	0	3	2	5	1	0	170	2	1	2	2	3	11	2	4	0	4	4	4	5	2	9	2	2	0	4	5	2	0	1	1	0	4	1	0	1	2	0	0	2	6	0	0	0	5	2	1	6	4	5	1	3	2	1	3	6	2	0	1	1	1	0	4	0	0	1	0	1	1	0	0	2	4	0	3	9	0	7	0	2	2	1	0	5	0	1	2	0	1	4	1	1	2	1	1	3	1	4	6	1	0	3	5	2	1	4	2	5	8	1	6	7	6	3	2	5	3	1	1	1	2	8	1	0	0	2	6	0	4	0	3	0	10	0	4	5	1	6	0	3	0	4	0	0	0	1	0	2	0	1	7	0	2	1	2	0	0	9	1	2	2	0	14	2	1	1	1	1	6	2	2	1	3	2	4	0	0	1	0	0	0	24	2	4	0	0	11	0	5	3	1	0	3	0	0	0	4	6	1	0	2	3	3	0	21	2	11	8	1	3	2	0	6	1	8	6	0	9	0	6	0	0	4	0	7	0	7	0
456 Berea Street	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	6	1	1	0	1	0	0	0	1	2	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	5	2	1	1	2	0	0	0	0	0	0	0	1	1	1	1	0	7	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	12	0	0	0	1	0	0	0	8	3	1	0	3	0	0	2	1	0	4	0	3	4	1	0	1	0	2	4	0	0	1	1	0	0	1	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	5	2	1	0	1	6	0	0	0	0	0	0	0	0	2	0	3	1	0	1	3	0	6	0	0	2	0	0	0	0	0	0	3	0	3	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	1	0	10	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	4	0	0	0	0	0	2	0	0	0	1	0	1	0	6	2	0	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0	1	0	1	0	5	0	1	0	0	6	4	0	0	0	1	0	0	0	0	8	0	0	1	4	2	0	1	0	0	1	0	0	2	0	0	0	0	0	3	4	1	1	1	0	1	0	0	1	0	0	1	0	1	0	5	0	0	0	0	0	4	0	0	0	3	5	0	1	1	0	0	0	0	0	3	0	1	0	1	3	0	1	1	0	1	0	1	0	1	1	2	0	0	3	0	0	1	0	0	0	0	0	0	2	1	0	2	0	7	0	1	0	0	1	0	0	0	1	3	2	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	5	0	2	1	0	0	0	0	0	0	10	0	0	1	0	0	0	4	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	3	0	2	0	0	1	1	2	3	0	0	0	1	0	0	2	3	1	4	0	1	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	2	0	0	1	1	2	4	0	0	0	7	0	0	0	0	1	4	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	9	1	0	1	2	0	0	0	3	0	3	1	0	0	0	0	0	1	2	0	0	0	0	1	0	1	1	0	0	0	0	0
Signal vs. Noise	0	1	1	3	0	5	7	0	0	1	1	3	3	3	2	2	3	2	6	1	0	2	3	0	2	3	5	13	0	1	2	8	1	2	2	0	9	3	0	4	0	0	1	0	1	9	6	0	0	4	0	1	0	0	3	2	5	2	2	4	0	2	6	0	0	1	0	2	4	0	0	4	1	1	1	0	1	1	0	5	1	0	1	0	3	0	11	0	0	3	5	1	0	3	0	0	0	2	0	0	1	1	5	2	1	0	3	0	5	2	6	3	0	0	0	7	0	9	0	0	1	2	4	3	8	1	5	4	1	0	0	2	3	4	2	3	2	2	0	1	2	1	1	0	3	7	8	0	7	2	2	0	1	0	0	1	0	3	11	11	0	2	0	1	7	4	0	16	5	2	2	1	2	2	0	0	1	0	1	0	0	8	1	0	0	0	4	2	0	2	2	2	1	1	7	0	0	0	0	2	0	0	0	0	0	2	3	1	0	6	1	4	3	1	0	0	0	2	0	1	0	1	1	0	3	3	0	1	2	2	2	1	3	0	1	2	0	0	2	0	1	0	2	0	1	0	0	0	1	3	0	3	0	1	3	1	0	0	0	2	2	0	0	1	1	0	0	0	7	0	0	4	0	1	6	2	0	5	3	0	2	1	0	3	2	2	0	34	2	2	1	1	2	0	3	1	7	5	0	2	0	2	3	0	0	4	5	2	3	0	3	1	2	8	2	0	0	8	8	0	0	0	3	0	0	2	3	3	2	0	0	4	0	5	1	11	2	3	0	0	3	2	0	0	3	1	8	5	5	0	3	0	3	1	1	1	0	3	1	1	0	1	3	4	0	0	0	0	4	2	0	0	0	0	0	1	8	1	0	1	0	3	0	2	5	3	5	0	5	4	2	1	2	0	0	1	1	4	1	6	2	1	1	1	0	3	0	2	1	7	0	10	1	0	1	7	6	5	2	1	0	0	3	10	0	1	0	3	1	2	0	2	1	1	5	0	0	0	9	2	0	12	2	2	6	1	0	0	2	0	1	1	3	0	2	3	1	0	0	0	1	0	6	1	2	1	2	2	0	0	2	8	0	0	1	0	0	3	0	1	2	3	0	6	0	0	2	2	6	0	0	2	0	2	3	2	1	0	9	3	0	1	0	1	1	0	1	1	2	0	3	1	1	4	1	1	0	22	2	2	2	1	0	1	5	1	0	0	0	0	6	1	5	6	0	0	1	0	7	0	11	3	3	9	11	1	3	0	1	1	0	3	1	8	0	11	0	1	0	2	4	1	2	0
